group,file,path,width,height,aspect,bucket,brightness_mean,brightness_std,saturation_mean,saturation_std,edge_density,top_edge,mid_edge,bottom_edge,top_minus_mid_edge,bottom_minus_mid_edge,dominant_1,dominant_1_pct,dominant_2,dominant_2_pct,dominant_3,dominant_3_pct,palette
其他,0cc3e9641ef7018769a5e619eb4bf43d.jpg,C:\Users\27504\Desktop\电影海报\其他\0cc3e9641ef7018769a5e619eb4bf43d.jpg,1280,1894,0.676,poster_vertical,190.66,97.96,0.064,0.142,0.0258,0.02,0.0445,0.0114,-0.0245,-0.0331,#ffffff,0.369,#fefefe,0.296,#151518,0.241,#ffffff:0.37;#fefefe:0.30;#151518:0.24;#afaeb0:0.09;#fffeff:0.00
其他,10599826fba7b36596e3e9e5ac197e13.jpg,C:\Users\27504\Desktop\电影海报\其他\10599826fba7b36596e3e9e5ac197e13.jpg,1280,1927,0.664,poster_vertical,83.43,57.96,0.657,0.193,0.0275,0.0213,0.0516,0.0095,-0.0303,-0.042,#250d10,0.255,#6c1b1d,0.241,#6a667b,0.228,#250d10:0.25;#6c1b1d:0.24;#6a667b:0.23;#96b4d0:0.14;#917778:0.13
其他,1515988339_IZf9wh.jpg,C:\Users\27504\Desktop\电影海报\其他\1515988339_IZf9wh.jpg,1944,2880,0.675,poster_vertical,35.01,36.89,0.492,0.21,0.0267,0.026,0.0352,0.0189,-0.0091,-0.0162,#0a0b10,0.249,#150b11,0.209,#683e46,0.205,#0a0b10:0.25;#150b11:0.21;#683e46:0.21;#461820:0.18;#070a0e:0.15
其他,1515988417_9GmZFX.jpg,C:\Users\27504\Desktop\电影海报\其他\1515988417_9GmZFX.jpg,1000,1500,0.667,poster_vertical,134.76,36.29,0.579,0.201,0.0496,0.0481,0.0616,0.0447,-0.0135,-0.0169,#bb8842,0.25,#cb944a,0.231,#7d5b2f,0.223,#bb8842:0.25;#cb944a:0.23;#7d5b2f:0.22;#9d783f:0.22;#dcba8b:0.07
其他,1515988652_B2NYvs.jpg,C:\Users\27504\Desktop\电影海报\其他\1515988652_B2NYvs.jpg,1080,1600,0.675,poster_vertical,29.37,29.96,0.566,0.256,0.0166,0.0121,0.0206,0.023,-0.0084,0.0024,#08080f,0.369,#280407,0.188,#18131d,0.167,#08080f:0.37;#280407:0.19;#18131d:0.17;#3c2b36:0.15;#6a4d57:0.13
其他,242f5dcf5d1d9e0249fdd7d620947fc9.jpg,C:\Users\27504\Desktop\电影海报\其他\242f5dcf5d1d9e0249fdd7d620947fc9.jpg,1280,1880,0.681,poster_vertical,84.67,37.35,0.757,0.318,0.0323,0.043,0.0146,0.055,0.0285,0.0404,#0762ad,0.493,#373c55,0.208,#829ba5,0.141,#0762ad:0.49;#373c55:0.21;#829ba5:0.14;#045ca6:0.09;#266aa1:0.07
其他,2a722d88ed8d59eeac0f5d173f0d3e21.jpg,C:\Users\27504\Desktop\电影海报\其他\2a722d88ed8d59eeac0f5d173f0d3e21.jpg,1280,1895,0.675,poster_vertical,38.47,24.28,0.702,0.173,0.0152,0.0075,0.0154,0.0178,-0.0079,0.0025,#102f42,0.32,#081219,0.19,#09232f,0.177,#102f42:0.32;#081219:0.19;#09232f:0.18;#274d60:0.17;#122435:0.14
其他,45f816f2b78c8bc41b0bcdad543e5aa8.jpg,C:\Users\27504\Desktop\电影海报\其他\45f816f2b78c8bc41b0bcdad543e5aa8.jpg,1280,1920,0.667,poster_vertical,117.51,37.77,0.614,0.255,0.0537,0.0582,0.0518,0.0532,0.0064,0.0014,#823834,0.246,#f24926,0.24,#de8677,0.206,#823834:0.25;#f24926:0.24;#de8677:0.21;#c86150:0.16;#ee2b11:0.15
其他,4d1a9c7a27b1b911faa97a3479e6dadd.jpg,C:\Users\27504\Desktop\电影海报\其他\4d1a9c7a27b1b911faa97a3479e6dadd.jpg,1280,1897,0.675,poster_vertical,142.82,81.8,0.334,0.206,0.0355,0.0201,0.0331,0.068,-0.0131,0.0349,#372727,0.277,#904f3a,0.25,#f5e7cd,0.233,#372727:0.28;#904f3a:0.25;#f5e7cd:0.23;#f8ecd0:0.13;#ceb598:0.11
其他,51edeaf3fc04d39d1216760cc6b2d252.jpg,C:\Users\27504\Desktop\电影海报\其他\51edeaf3fc04d39d1216760cc6b2d252.jpg,1280,1919,0.667,poster_vertical,170.46,59.47,0.224,0.165,0.0374,0.0087,0.0561,0.0426,-0.0474,-0.0135,#c5959e,0.309,#debabf,0.227,#784d56,0.172,#c5959e:0.31;#debabf:0.23;#784d56:0.17;#eed2d7:0.17;#f2e5ec:0.12
